"Date de résultat du test","Cas confirmés","Moyenne mobile (7 jours)","Annotations 1"
"2020-07-13 00:00:00",137,118.71
"2020-07-14 00:00:00",123,130.14
"2020-07-15 00:00:00",155,142.57
"2020-07-16 00:00:00",137,147.86
"2020-07-17 00:00:00",177,148.86
"2020-07-18 00:00:00",195,158.86
"2020-07-19 00:00:00",111,163.43
"2020-07-20 00:00:00",144,166.86
"2020-07-21 00:00:00",193,163.43
"2020-07-22 00:00:00",187,156.29
"2020-07-23 00:00:00",161,155.57
"2020-07-24 00:00:00",153,151.14
"2020-07-25 00:00:00",145,143.29
"2020-07-26 00:00:00",106,141.29
"2020-07-27 00:00:00",113,141.14
"2020-07-28 00:00:00",138,136.86
"2020-07-29 00:00:00",173,133.71
"2020-07-30 00:00:00",160,133.14
"2020-07-31 00:00:00",123,137
"2020-08-01 00:00:00",123,138.43
"2020-08-02 00:00:00",102,132.29
"2020-08-03 00:00:00",140,124.57
"2020-08-04 00:00:00",148,124.71
"2020-08-05 00:00:00",130,124.29
"2020-08-06 00:00:00",106,122.71
"2020-08-07 00:00:00",124,114.43
"2020-08-08 00:00:00",120,109.29
"2020-08-09 00:00:00",91,105
"2020-08-10 00:00:00",82,101.71
"2020-08-11 00:00:00",112,93.29
"2020-08-12 00:00:00",100,84.71
"2020-08-13 00:00:00",83,78.57
"2020-08-14 00:00:00",65,74.57
"2020-08-15 00:00:00",60,71.29
"2020-08-16 00:00:00",48,70.29
"2020-08-17 00:00:00",54,73.71
"2020-08-18 00:00:00",89,79
"2020-08-19 00:00:00",93,83.14
"2020-08-20 00:00:00",107,83
"2020-08-21 00:00:00",102,83
"2020-08-22 00:00:00",89,88.29
"2020-08-23 00:00:00",47,93.86
"2020-08-24 00:00:00",54,93.43
"2020-08-25 00:00:00",126,97.57
"2020-08-26 00:00:00",132,102
"2020-08-27 00:00:00",104,112.29
"2020-08-28 00:00:00",131,123.57
"2020-08-29 00:00:00",120,132.14
"2020-08-30 00:00:00",119,137.29
"2020-08-31 00:00:00",133,153.57
"2020-09-01 00:00:00",186,163.86
"2020-09-02 00:00:00",168,178.14
"2020-09-03 00:00:00",218,188.71
"2020-09-04 00:00:00",203,191.29
"2020-09-05 00:00:00",220,194.43
"2020-09-06 00:00:00",193,206
"2020-09-07 00:00:00",151,209.86
"2020-09-08 00:00:00",208,230.29
"2020-09-09 00:00:00",249,246.14
"2020-09-10 00:00:00",245,259.43
"2020-09-11 00:00:00",346,274
"2020-09-12 00:00:00",331,290.71
"2020-09-13 00:00:00",286,301.57
"2020-09-14 00:00:00",253,318.29
"2020-09-15 00:00:00",325,339.71
"2020-09-16 00:00:00",325,356.71
"2020-09-17 00:00:00",362,387.57
"2020-09-18 00:00:00",496,424.29
"2020-09-19 00:00:00",450,454.43
"2020-09-20 00:00:00",502,502.43
"2020-09-21 00:00:00",510,556.14
"2020-09-22 00:00:00",536,598.14
"2020-09-23 00:00:00",661,659
"2020-09-24 00:00:00",738,719
"2020-09-25 00:00:00",790,770.43
"2020-09-26 00:00:00",876,833.14
"2020-09-27 00:00:00",922,891.57
"2020-09-28 00:00:00",870,945.43
"2020-09-29 00:00:00",975,1019.14
"2020-09-30 00:00:00",1070,1042.57
"2020-10-01 00:00:00",1115,1042.57
"2020-10-02 00:00:00",1306,1033.57
"2020-10-03 00:00:00",1040,1050.86
"2020-10-04 00:00:00",922,1040.43
"2020-10-05 00:00:00",807,1038.57
"2020-10-06 00:00:00",1096,1003.71
"2020-10-07 00:00:00",997,993
"2020-10-08 00:00:00",1102,1001.57
"2020-10-09 00:00:00",1062,985.71
"2020-10-10 00:00:00",965,975.71
"2020-10-11 00:00:00",982,1001.86
"2020-10-12 00:00:00",696,1012.14
"2020-10-13 00:00:00",1026,1039.14
"2020-10-14 00:00:00",1180,1029.29
"2020-10-15 00:00:00",1174,1002.71
"2020-10-16 00:00:00",1251,1029.29
"2020-10-17 00:00:00",896,1034.57
"2020-10-18 00:00:00",796,1005
"2020-10-19 00:00:00",882,968.86
"2020-10-20 00:00:00",1063,937
"2020-10-21 00:00:00",973,937
"2020-10-22 00:00:00",921,951.14
"2020-10-23 00:00:00",1028,927.71
"2020-10-24 00:00:00",896,929
"2020-10-25 00:00:00",895,922.86
"2020-10-26 00:00:00",718,936.43
"2020-10-27 00:00:00",1072,928.86
"2020-10-28 00:00:00",930,953.29
"2020-10-29 00:00:00",1016,956
"2020-10-30 00:00:00",975,971.86
"2020-10-31 00:00:00",1067,971.14
"2020-11-01 00:00:00",914,1001.43
"2020-11-02 00:00:00",829,1047.29
"2020-11-03 00:00:00",1067,1088.29
"2020-11-04 00:00:00",1142,1117.71
"2020-11-05 00:00:00",1337,1161
"2020-11-06 00:00:00",1262,1228.43
"2020-11-07 00:00:00",1273,1256.86
"2020-11-08 00:00:00",1217,1273.86
"2020-11-09 00:00:00",1301,1282.29
"2020-11-10 00:00:00",1266,1304.29
"2020-11-11 00:00:00",1261,1285
"2020-11-12 00:00:00",1396,1269.71
"2020-11-13 00:00:00",1416,1231.43
"2020-11-14 00:00:00",1138,1231.14
"2020-11-15 00:00:00",1110,1229.29
"2020-11-16 00:00:00",1033,1199
"2020-11-17 00:00:00",1264,1160.29
"2020-11-18 00:00:00",1248,1153.57
"2020-11-19 00:00:00",1184,1177.14
"2020-11-20 00:00:00",1145,1170.57
"2020-11-21 00:00:00",1091,1172.57
"2020-11-22 00:00:00",1275,1198.57
"2020-11-23 00:00:00",987,1225.71
"2020-11-24 00:00:00",1278,1264.29
"2020-11-25 00:00:00",1430,1290.29
"2020-11-26 00:00:00",1374,1286.29
"2020-11-27 00:00:00",1415,1346.86
"2020-11-28 00:00:00",1273,1391.14
"2020-11-29 00:00:00",1247,1416.43
"2020-11-30 00:00:00",1411,1464.57
"2020-12-01 00:00:00",1588,1490.14
"2020-12-02 00:00:00",1607,1551.57
"2020-12-03 00:00:00",1711,1587.57
"2020-12-04 00:00:00",1594,1599.57
"2020-12-05 00:00:00",1703,1622.71
"2020-12-06 00:00:00",1499,1650
"2020-12-07 00:00:00",1495,1665.71
"2020-12-08 00:00:00",1750,1724.57
"2020-12-09 00:00:00",1798,1748.14
"2020-12-10 00:00:00",1821,1774.86
"2020-12-11 00:00:00",2006,1830.57
"2020-12-12 00:00:00",1868,1847.43
"2020-12-13 00:00:00",1686,1894.29
"2020-12-14 00:00:00",1885,1947.57
"2020-12-15 00:00:00",1868,1950.86
"2020-12-16 00:00:00",2126,1993.43
"2020-12-17 00:00:00",2194,2037.71
"2020-12-18 00:00:00",2029,2054.71
"2020-12-19 00:00:00",2166,2103.29
"2020-12-20 00:00:00",1996,2139.14
"2020-12-21 00:00:00",2004,2171
"2020-12-22 00:00:00",2208,2213
"2020-12-23 00:00:00",2377,2197.86
"2020-12-24 00:00:00",2417,2232.71
"2020-12-25 00:00:00",2323,2253.43
"2020-12-26 00:00:00",2060,2381.57
"2020-12-27 00:00:00",2240,2471.86
