"REF_DATE","GEO","DGUID","Census year (2)","Age (in single years), average age and median age (128)","Gender (3a)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10 to 14 years","Men+","","0","units","0","","333.1.15.2","130250","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10 to 14 years","Women+","","0","units","0","","333.1.15.3","124110","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Total - Gender","","0","units","0","","333.1.16.1","50970","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Men+","","0","units","0","","333.1.16.2","26075","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","10","Women+","","0","units","0","","333.1.16.3","24895","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","11","Total - Gender","","0","units","0","","333.1.17.1","51725","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","11","Men+","","0","units","0","","333.1.17.2","26440","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","11","Women+","","0","units","0","","333.1.17.3","25290","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","12","Total - Gender","","0","units","0","","333.1.18.1","51825","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","12","Men+","","0","units","0","","333.1.18.2","26590","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","12","Women+","","0","units","0","","333.1.18.3","25235","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","13","Total - Gender","","0","units","0","","333.1.19.1","50830","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","13","Men+","","0","units","0","","333.1.19.2","26050","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","13","Women+","","0","units","0","","333.1.19.3","24780","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","14","Total - Gender","","0","units","0","","333.1.20.1","49005","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","14","Men+","","0","units","0","","333.1.20.2","25095","","","","0"
"2021","Montréal (CMA), Que.","2021S0503462","2021","14","Women+","","0","units","0","","333.1.20.3","23905","","","","0"
